barcode,sku,reason,start_date,end_date,campaign_status,discounted_price,max_no_of_orders,price,active
02001000753222,2001000753222,,,,,,,5.75,0
02001000993628,2001000993628,,,,,,,10.99,0
02001000993659,2001000993659,,,,,,,11.49,0
04015000280235,4015000280235,,,,,,,7.49,0
04800016653094,4800016653094,,,,,,,4.49,0
05000231023002,5000231023002,,,,,,,13.25,0
05023659920203,5023659920203,,,,,,,6.49,0
05033712160064,5033712160064,,,,,,,16.75,0
05033712165229,5033712165229,,,,,,,7.49,0
05410076652471,5410076652471,,,,,,,17.25,1
06281006452862,6281006452862,,,,,,,13.25,0
06281006481336,6281006481336,,,,,,,9.25,0
06281007023276,6281007023276,,,,,,,1.75,0
06281007023504,6281007023504,,,,,,,2.25,0
06281007029612,6281007029612,,,,,,,8.99,0
06281007036023,6281007036023,,,,,,,4.25,0
06281007039826,6281007039826,,,,,,,3.75,1
06281007046077,6281007046077,,,,,,,9.99,0
06281007047654,6281007047654,,,,,,,7.99,1
06281007050159,6281007050159,,,,,,,3.75,0
06281007061032,6281007061032,,,,,,,4.25,1
06281007061667,6281007061667,,,,,,,2.75,0
06281031274255,6281031274255,,,,,,,26.49,0
06281100362487,6281100362487,,,,,,,17.99,1
06281183001211,6281183001211,,,,,,,1.25,0
06290655788093,6290655788093,,,,,,,6.99,0
06291001000913,6291001000913,,,,,,,0.99,1
06291001001965,6291001001965,,,,,,,6.99,1
06291003012075,6291003012075,,,,,,,13.75,1
06291003039980,6291003039980,,,,,,,17.99,0
06291003054518,6291003054518,,,,,,,10.99,0
06291003096297,6291003096297,,,,,,,17.99,0
06291007901429,6291007901429,,,,,,,14.99,0
06291023012970,6291023012970,,,,,,,35.75,0
06291030003497,6291030003497,,,,,,,4.49,1
06291030004418,6291030004418,,,,,,,9.99,1
06291030004579,6291030004579,,,,,,,4.49,1
06291030109175,6291030109175,,,,,,,2.75,1
06291030200049,6291030200049,,,,,,,4.25,1
06291044170253,6291044170253,,,,,,,8.25,0
06291053110103,6291053110103,,,,,,,3.75,0
06291053230016,6291053230016,,,,,,,13.25,1
06291056000111,6291056000111,,,,,,,1.49,0
06291056001828,6291056001828,,,,,,,2.99,1
06291056002139,6291056002139,,,,,,,4.49,1
06291056011513,6291056011513,,,,,,,4.49,1
06291056011520,6291056011520,,,,,,,7.99,1
06291056041527,6291056041527,,,,,,,2.75,1
06291056043040,6291056043040,,,,,,,2.75,1
06291056052004,6291056052004,,,,,,,8.25,1
06291056067503,6291056067503,,,,,,,4.25,0
