barcode,sku,reason,start_date,end_date,campaign_status,discounted_price,max_no_of_orders,price,active
01000000210231,1000000210231,,,,,,,1.25,0
01000000215946,1000000215946,,,,,,,2.49,0
01000000520576,1000000520576,,,,,,,1.75,1
00000100038282,100038282,,,,,,,6.49,1
00000100038286,100038286,,,,,,,4.25,1
01002054057886,1002054057886,,,,,,,5.75,0
01005277420772,1005277420772,,,,,,,16.25,0
00010181022005,10181022005,,,,,,,17.25,0
00010181023002,10181023002,,,,,,,21.99,0
00010181024009,10181024009,,,,,,,39.25,0
00010181025051,10181025051,,,,,,,20.75,0
00010181040313,10181040313,,,,,,,40.25,0
00010181040351,10181040351,,,,,,,45.99,0
00010181040702,10181040702,,,,,,,48.99,0
00010181066177,10181066177,,,,,,,15.75,0
00010181066184,10181066184,,,,,,,15.75,0
00010181066207,10181066207,,,,,,,22.49,0
00010181066405,10181066405,,,,,,,25.25,1
00102021038717,102021038717,,,,,,,18.49,1
00103010306312,103010306312,,,,,,,16.25,1
00103080032111,103080032111,,,,,,,20.75,0
00103080039820,103080039820,,,,,,,18.25,0
00105010231915,105010231915,,,,,,,29.99,0
00010900035163,10900035163,,,,,,,17.25,1
00010900035187,10900035187,,,,,,,14.99,1
00010900035224,10900035224,,,,,,,12.75,1
00010900100847,10900100847,,,,,,,10.99,1
00010900100854,10900100854,,,,,,,23.75,1
00010900100878,10900100878,,,,,,,13.99,1
01110000110025,1110000110025,,,,,,,4.99,0
01110000140435,1110000140435,,,,,,,2.99,0
00115080000366,115080000366,,,,,,,2.49,0
00012000002090,12000002090,,,,,,,1.75,1
00012000002489,12000002489,,,,,,,2.99,1
00012000002496,12000002496,,,,,,,2.99,1
00012000002533,12000002533,,,,,,,2.99,1
00012000002588,12000002588,,,,,,,2.99,1
00012000002632,12000002632,,,,,,,2.99,1
00012000014338,12000014338,,,,,,,1.25,1
00012000018251,12000018251,,,,,,,5.75,0
00012000020742,12000020742,,,,,,,5.75,1
00012000022760,12000022760,,,,,,,2.99,1
00012000022890,12000022890,,,,,,,4.25,0
00012000038044,12000038044,,,,,,,5.25,1
00012000045271,12000045271,,,,,,,3.49,0
00012000051654,12000051654,,,,,,,2.99,0
00012000051661,12000051661,,,,,,,2.99,0
