barcode,sku,reason,start_date,end_date,campaign_status,discounted_price,max_no_of_orders,price,active
01000000210231,1000000210231,,,,,,,1.25,0
01000000213850,1000000213850,,,,,,,13.25,0
01000000213867,1000000213867,,,,,,,2.99,0
01000000215946,1000000215946,,,,,,,2.49,0
01000000520576,1000000520576,,,,,,,1.75,0
00000100038282,100038282,,,,,,,6.49,1
00000100038286,100038286,,,,,,,4.75,1
00010181000089,10181000089,,,,,,,10.49,0
00010181022005,10181022005,,,,,,,18.25,0
00010181023002,10181023002,,,,,,,18.75,0
00010181025051,10181025051,,,,,,,22.49,0
00010181040313,10181040313,,,,,,,31.25,0
00010181040351,10181040351,,,,,,,35.75,0
00010181040603,10181040603,,,,,,,36.75,0
00010181040702,10181040702,,,,,,,41.49,0
00010181066177,10181066177,,,,,,,15.25,0
00010181066184,10181066184,,,,,,,15.25,0
00010181066207,10181066207,,,,,,,22.49,0
00010181066405,10181066405,,,,,,,22.49,0
00010181066702,10181066702,,,,,,,29.99,0
00102021038717,102021038717,,,,,,,17.25,1
00103010306312,103010306312,,,,,,,14.99,0
00103080032111,103080032111,,,,,,,20.75,0
00103080039820,103080039820,,,,,,,17.25,1
00103080150211,103080150211,,,,,,,21.49,0
00103080206116,103080206116,,,,,,,11.49,1
00010900035163,10900035163,,,,,,,14.99,0
00010900035187,10900035187,,,,,,,13.99,0
00010900035200,10900035200,,,,,,,15.75,0
00010900035217,10900035217,,,,,,,18.49,0
00010900035224,10900035224,,,,,,,13.25,0
00010900035231,10900035231,,,,,,,8.75,0
00010900035828,10900035828,,,,,,,18.49,1
00010900035835,10900035835,,,,,,,16.99,0
00109000358804,109000358804,,,,,,,10.99,0
00010900100847,10900100847,,,,,,,8.75,1
00010900100854,10900100854,,,,,,,20.25,0
00010900100878,10900100878,,,,,,,10.49,0
01110000110025,1110000110025,,,,,,,4.49,0
01110000110056,1110000110056,,,,,,,4.49,0
01110000120017,1110000120017,,,,,,,2.25,0
01110000120246,1110000120246,,,,,,,1.99,0
01110000130139,1110000130139,,,,,,,6.25,0
01110000130207,1110000130207,,,,,,,6.75,0
01110000140435,1110000140435,,,,,,,2.49,0
01110000140442,1110000140442,,,,,,,2.49,0
01110000220168,1110000220168,,,,,,,2.49,0
01110000220199,1110000220199,,,,,,,2.49,0
01110000340095,1110000340095,,,,,,,12.75,0
01110000615148,1110000615148,,,,,,,1.99,0
01110000860050,1110000860050,,,,,,,3.49,0
00011210007253,11210007253,,,,,,,14.99,0
00011210600133,11210600133,,,,,,,16.25,1
00115080000366,115080000366,,,,,,,2.99,0
00012000002090,12000002090,,,,,,,1.75,0
00012000002489,12000002489,,,,,,,2.99,1
00012000002496,12000002496,,,,,,,2.99,1
00012000002533,12000002533,,,,,,,2.99,1
00012000002588,12000002588,,,,,,,2.99,1
00012000002632,12000002632,,,,,,,2.99,1
00012000014338,12000014338,,,,,,,1.25,0
00012000018251,12000018251,,,,,,,5.75,0
00012000020742,12000020742,,,,,,,5.75,1
00012000022760,12000022760,,,,,,,2.99,1
00012000022890,12000022890,,,,,,,4.25,1
00012000045271,12000045271,,,,,,,3.49,1
00012000051654,12000051654,,,,,,,2.75,0
00012000051661,12000051661,,,,,,,2.49,0
00012000051678,12000051678,,,,,,,2.75,0
00012000051685,12000051685,,,,,,,2.49,0
00012000051692,12000051692,,,,,,,2.75,0
00012000052330,12000052330,,,,,,,40.25,0
00012000052354,12000052354,,,,,,,40.25,0
00012000052385,12000052385,,,,,,,36.25,0
00012000052392,12000052392,,,,,,,2.49,0
00012000052422,12000052422,,,,,,,2.49,0
00012000052880,12000052880,,,,,,,2.99,0
00012000052903,12000052903,,,,,,,2.99,1
00012000055744,12000055744,,,,,,,6.49,0
00012000055775,12000055775,,,,,,,5.75,1
00012000055782,12000055782,,,,,,,5.75,1
00012000058806,12000058806,,,,,,,9.25,1
00012000058813,12000058813,,,,,,,9.25,1
00012000058820,12000058820,,,,,,,9.25,1
00012000058837,12000058837,,,,,,,9.25,1
00012000058844,12000058844,,,,,,,9.25,0
00012000101564,12000101564,,,,,,,8.75,0
00012000108037,12000108037,,,,,,,4.25,1
00012000520327,12000520327,,,,,,,5.75,1
00012000520334,12000520334,,,,,,,5.75,0
00012000520358,12000520358,,,,,,,5.75,1
