item_code,units,mrp,cost,stock
100098581.0,PCS,3.5,0.0,0.0
100098582.0,PCS,3.5,0.0,0.0
100100517.0,PCS,5.0,0.0,0.0
100102842.0,PCS,3.0,0.0,0.0
100110123.0,PCS,16.0,0.0,0.0
100114171.0,PCS,2.5,0.0,0.0
100133167.0,PCS,8.4,0.0,0.0
100138517.0,PCS,8.0,0.0,0.0
100139950.0,PCS,6.0,0.0,0.0
100139993.0,PCS,5.25,0.0,0.0
100002590.0,PCS,25.0,0.0,0.0
100002597.0,PCS,7.0,0.0,0.0
100002606.0,PCS,7.5,0.0,3.0
100010441.0,PCS,25.0,0.0,0.0
100010445.0,PCS,4.0,0.0,0.0
100014761.0,PCS,8.5,0.0,19.0
100014762.0,PCS,3.0,0.0,0.0
100014771.0,PCS,3.15,0.0,0.0
100016288.0,PCS,4.0,0.0,0.0
100018585.0,PCS,13.65,0.0,0.0
100025960.0,PCS,3.15,0.0,0.0
100025962.0,PCS,4.75,0.0,0.0
100026062.0,PCS,3.15,0.0,0.0
100026063.0,PCS,5.8,0.0,0.0
100026074.0,PCS,13.15,0.0,0.0
100026075.0,PCS,4.0,0.0,0.0
100032414.0,OUT,12.6,0.0,0.0
100032414.0,PCS,5.0,0.0,0.0
100032433.0,PCS,4.0,0.0,1.0
100045328.0,PCS,6.0,0.0,0.0
100045915.0,PCS,6.3,0.0,0.0
100048211.0,PCS,6.5,0.0,0.0
100051480.0,PCS,3.0,0.0,0.0
100053340.0,PCS,5.5,0.0,0.0
100060905.0,PCS,5.0,0.0,0.0
100060908.0,PCS,13.0,0.0,0.0
100060909.0,PCS,15.0,0.0,1.0
100063309.0,PCS,5.0,0.0,0.0
100083293.0,PCS,23.0,0.0,0.0
100083294.0,PCS,27.0,0.0,0.0
100083295.0,PCS,26.0,0.0,0.0
100083296.0,PCS,27.0,0.0,0.0
100083297.0,PCS,33.0,0.0,0.0
100106986.0,PCS,5.0,0.0,27.0
100108214.0,PCS,3.0,0.0,0.0
100112606.0,PCS,3.0,0.0,32.0
100112607.0,PCS,3.5,0.0,6.0
100128316.0,PCS,2.5,0.0,33.0
100130328.0,PCS,3.0,0.0,1.0
100188093.0,PCS,2.5,0.0,30.0
100002576.0,PCS,72.0,0.0,0.0
100002577.0,PCS,45.0,0.0,0.0
100002578.0,PCS,89.25,0.0,0.0
100002579.0,PCS,73.5,0.0,0.0
100002580.0,PCS,58.0,0.0,0.0
100015070.0,PCS,42.95,0.0,5.0
100015147.0,PCS,42.0,0.0,0.0
100015149.0,PCS,58.95,0.0,6.0
100015159.0,PCS,6.99,0.0,5.0
100015160.0,PCS,14.0,0.0,0.0
100025957.0,PCS,29.0,0.0,0.0
100026047.0,PCS,26.25,0.0,0.0
100072496.0,PCS,52.0,0.0,3.0
100072497.0,PCS,40.95,0.0,0.0
100136466.0,PCS,6.3,0.0,0.0
100136467.0,PCS,6.5,0.0,6.0
100002433.0,PCS,52.5,0.0,0.0
100002434.0,PCS,31.5,0.0,0.0
100010670.0,PCS,89.25,0.0,0.0
100010671.0,PCS,43.05,0.0,0.0
100010673.0,PCS,37.8,0.0,0.0
100014830.0,PCS,54.6,0.0,0.0
100014831.0,PCS,14.7,0.0,0.0
100015680.0,PCS,10.0,0.0,0.0
100015681.0,PCS,26.25,0.0,0.0
100016676.0,PCS,15.0,0.0,0.0
100016677.0,PCS,9.95,0.0,1.0
100018001.0,PCS,17.85,0.0,0.0
100018002.0,PCS,29.4,0.0,0.0
100025855.0,PCS,5.25,0.0,0.0
100026052.0,PCS,18.9,0.0,0.0
100026053.0,PCS,23.1,0.0,0.0
100026058.0,PCS,4.2,0.0,0.0
100026059.0,PCS,10.5,0.0,0.0
100026060.0,PCS,10.5,0.0,0.0
100028677.0,PCS,16.8,0.0,0.0
100028692.0,PCS,14.7,0.0,0.0
100030953.0,PCS,21.0,0.0,0.0
100032888.0,PCS,30.0,0.0,0.0
100034828.0,PCS,20.0,0.0,0.0
100040357.0,PCS,62.0,0.0,0.0
100041291.0,PCS,38.0,0.0,0.0
100048047.0,PCS,36.0,0.0,0.0
100048387.0,PCS,30.0,0.0,0.0
100049886.0,PCS,58.0,0.0,0.0
100051092.0,PCS,98.0,0.0,0.0
100051378.0,PCS,19.5,0.0,0.0
100051861.0,PCS,48.0,0.0,0.0
100057218.0,PCS,26.25,0.0,0.0
100066977.0,PCS,39.0,0.0,2.0
100085797.0,PCS,18.0,0.0,0.0
100085798.0,PCS,12.0,0.0,0.0
100087736.0,PCS,39.0,0.0,1.0
100121613.0,PCS,13.0,0.0,0.0
100121615.0,PCS,3.95,0.0,1.0
100130807.0,PCS,6.95,0.0,0.0
100130808.0,PCS,8.4,0.0,0.0
100131328.0,PCS,20.0,0.0,0.0
100156283.0,PCS,12.0,0.0,0.0
100156284.0,PCS,16.0,0.0,0.0
100002439.0,PCS,49.0,0.0,3.0
100002440.0,PCS,35.0,0.0,0.0
100016674.0,PCS,38.0,0.0,0.0
100018000.0,PCS,36.75,0.0,0.0
100034833.0,PCS,62.0,0.0,0.0
100051377.0,PCS,45.0,0.0,0.0
100085296.0,PCS,44.0,0.0,0.0
100091297.0,PCS,110.0,0.0,0.0
100091298.0,PCS,68.0,0.0,0.0
100099490.0,PCS,12.0,0.0,0.0
100099491.0,PCS,15.0,0.0,0.0
100111742.0,PCS,30.0,0.0,0.0
100115542.0,PCS,58.0,0.0,0.0
100002444.0,PCS,20.0,0.0,0.0
100002446.0,PCS,19.0,0.0,0.0
100002447.0,PCS,15.0,0.0,0.0
100002448.0,PCS,17.0,0.0,0.0
100002449.0,PCS,15.0,0.0,0.0
100014840.0,PCS,13.0,0.0,0.0
100025245.0,PCS,18.0,0.0,0.0
100026068.0,PCS,18.9,0.0,0.0
100026069.0,PCS,15.75,0.0,0.0
100026071.0,PCS,13.65,0.0,0.0
100034569.0,PCS,19.0,0.0,0.0
100045684.0,PCS,15.75,0.0,0.0
100045689.0,PCS,26.25,0.0,0.0
100051391.0,PCS,21.0,0.0,0.0
100062117.0,PCS,18.0,0.0,0.0
100064099.0,PCS,19.95,0.0,0.0
100082174.0,PCS,17.0,0.0,0.0
100092046.0,PCS,15.0,0.0,1.0
100098840.0,PCS,26.25,0.0,0.0
100115580.0,PCS,14.0,0.0,0.0
100115581.0,PCS,20.0,0.0,0.0
100026070.0,PCS,19.45,0.0,0.0
100000536.0,PCS,30.0,0.0,0.0
100007634.0,PCS,30.0,0.0,0.0
100007638.0,PCS,44.1,0.0,0.0
100007639.0,PCS,25.0,0.0,0.0
100007642.0,PCS,40.0,0.0,0.0
100007643.0,PCS,40.0,0.0,0.0
100007650.0,PCS,30.0,0.0,0.0
100017137.0,PCS,20.0,0.0,0.0
100017804.0,PCS,37.8,0.0,0.0
100019493.0,PCS,42.0,0.0,0.0
100026055.0,PCS,8.4,0.0,0.0
100026453.0,PCS,34.65,0.0,0.0
100028647.0,PCS,38.85,0.0,0.0
100028648.0,PCS,23.1,0.0,0.0
100028649.0,PCS,47.25,0.0,0.0
100028693.0,PCS,23.1,0.0,0.0
100048680.0,PCS,20.0,0.0,0.0
100067421.0,PCS,65.0,0.0,0.0
100067422.0,PCS,45.0,0.0,0.0
100067423.0,PCS,35.0,0.0,0.0
100067424.0,PCS,25.0,0.0,0.0
100077658.0,PCS,28.0,0.0,0.0
100077717.0,PCS,32.0,0.0,0.0
100079640.0,PCS,21.0,0.0,0.0
100085770.0,PCS,20.0,0.0,0.0
100085771.0,PCS,28.0,0.0,0.0
100086335.0,PCS,55.0,0.0,0.0
100092079.0,PCS,25.0,0.0,0.0
100096941.0,PCS,24.0,0.0,0.0
100099487.0,PCS,20.0,0.0,0.0
100099488.0,PCS,25.0,0.0,0.0
