item_code,name,units,mrp,cost,stock
100019174.0,Eveready Battery Aaa Bp4-C-Z1212,PCS,7.5,0.0,0.0
100019176.0,Eveready Battery C-Z1015 Aa Bp4-C-Z1015,PCS,7.0,0.0,0.0
100019186.0,Panasonic D Size Battery,OUT,13.5,0.0,0.0
100019264.0,Eveready Aa Battery R6 915B Mj30Pc,PCS,1.0,0.0,0.0
100019264.0,Eveready Aa Battery R6 915B Mj30Pc,PKT,8.0,0.0,0.0
100019264.0,Eveready Aa Battery R6 915B Mj30Pc,OUT,21.0,0.0,0.0
100019877.0,Panasonic Battery Aa 2`S Lr6T/2B,BOX,45.0,0.0,16.0
100019877.0,Panasonic Battery Aa 2`S Lr6T/2B,PCS,5.0,0.0,16.0
100020180.0,Sony Alakaline Battery D,PCS,11.05,0.0,0.0
100025958.0,Maxell Aa Battery 2`S Lr6 Gd 2B 2021,PCS,5.25,0.0,0.0
100025959.0,Sony Xtra Power Battery C 2`S Stamina Pl,PCS,10.5,0.0,0.0
100025961.0,Maxell Aa Battery 4`S Lr6 Gd 4B 2021,PCS,11.05,0.0,0.0
100025963.0,Energizer Alkaline Battery 12V A27,PCS,5.0,0.0,0.0
100026061.0,Maxell Aaa Battery 2`S 2020 Digital Xl,PCS,10.5,0.0,0.0
100026064.0,Maxell Battery Ace 27A 1B,PCS,3.7,0.0,0.0
100026072.0,Maxell Aaa Battery 2`S 2019,PCS,4.0,0.0,0.0
100026073.0,Maxell Aa Battery 2`S 2021 Digital Xl,PCS,10.5,0.0,0.0
100026076.0,Maxell Aaa Battery 4`S Lr03 Gd 4B 2021,PCS,5.0,0.0,0.0
100026352.0,Energizer Aaa Battery 2Pc Max,PCS,11.5,0.0,0.0
100028358.0,Maxell Aaa Super Power Ace Battery 4`S,PCS,5.8,0.0,0.0
100028384.0,Energizer Aaa Battery 4+2 Max,PCS,22.0,0.0,0.0
100028675.0,Duracell  Aaa Battery 2`S 1.5V,PCS,6.5,0.0,15.0
100028886.0,Energizer Aa Battery 8+4 E91Bp12,PCS,42.5,0.0,0.0
100029006.0,Eveready Aa Battery 4`S Bp4-C-Z1212,PCS,12.0,0.0,11.0
100031782.0,Sony Aa 4Pcs Alkaline Battery Sum3 R61,PCS,5.5,0.0,0.0
100031894.0,Maxell Aa Super Power Ace Battery 4`S,PCS,6.3,0.0,0.0
100033018.0,Duracell Alkaline Aa Battery 2`S,PCS,7.5,0.0,4.0
100042756.0,Panasonic Aaa Battery 2`S R03,PCS,1.5,0.0,19.0
100042756.0,Panasonic Aaa Battery 2`S R03,OUT,33.6,0.0,19.0
100045064.0,Sony Alakaline Battery C Size Ultra,PCS,6.3,0.0,0.0
100046062.0,Civic Aaa Extra Battery 1X2,BOX,25.2,0.0,0.0
100046062.0,Civic Aaa Extra Battery 1X2,PCS,1.5,0.0,0.0
100046063.0,Civic Aa Extra Battery 1X2,PCS,1.5,0.0,0.0
100046063.0,Civic Aa Extra Battery 1X2,OUT,21.0,0.0,0.0
100048307.0,Gp Alkaline Battery Aa 2`S,PCS,3.5,0.0,0.0
100048308.0,Gp Alkaline Battery Aaa 2`S,PCS,3.5,0.0,0.0
100048963.0,Zaiba Aa Battery,PCS,1.5,0.0,0.0
100054070.0,Kodak Max Alkaline Batteries Aa 2`S 2024,PCS,3.5,0.0,65.0
100054071.0,Kodak Max Alkaline Batteries Aaa 2`S 202,PCS,3.5,0.0,21.0
100057901.0,Duracell Plus Power Aa Battery 2`S  1.5V,PCS,8.5,0.0,0.0
100057902.0,Duracell Plus Power Aaa Battery 4`S 1.5V,PCS,19.0,0.0,0.0
100060896.0,Duracell Plus Power Aa Battery 4`S 1.5V,PCS,19.0,0.0,0.0
100060896.0,Duracell Plus Power Aa Battery 4`S 1.5V,P1,19.94,0.0,0.0
100060898.0,Duracell Ultra Power Aa Battery 4`S 1.5V,PCS,23.0,0.0,0.0
100060900.0,Duracell Ultra Power Aaa Battery 4`S 1.5,PCS,19.5,0.0,0.0
100060902.0,Duracell Plus Power C Size Battery 1.5V,PCS,11.0,0.0,0.0
100060903.0,Duracell Plus Power D Size Battery 1.5V,PCS,13.0,0.0,0.0
100060904.0,Duracell Plus Power 9V Battery 6Lp3146,PCS,11.0,0.0,0.0
100060907.0,Duracell A23 Battery 12V Mn21,PCS,5.0,0.0,0.0
100065844.0,Robust Aa Battery 1.5V,PCS,1.5,0.0,0.0
100084384.0,Energizer Aaa 4Pcs Battery Max Plus,PCS,32.0,0.0,3.0
100086189.0,Panasonic  Aa Battery 4`S Lr6T/4B,PCS,9.0,0.0,0.0
100086190.0,Panasonic Aaa Battery 4`S Lr03T/4B,PCS,8.0,0.0,10.0
100086758.0,Panasonic Aa 2Pcs Alkaline Battery Lr6Eg,PCS,5.0,0.0,0.0
100092866.0,Kodak Max Alkaline Batteries Aa 4`S 1500,PCS,5.0,0.0,44.0
100092867.0,Kodak Max Alkaline Batteries Aaa 4`S 240,PCS,5.0,0.0,1.0
100093111.0,Eveready Aaa Battery 4`S,PCS,3.5,0.0,20.0
100096663.0,Fujitsu D2 Battery 2`S R20 2B F Gp,PCS,7.0,0.0,0.0
100096770.0,Sully 2`S Aaa Battery 1.5V Lr03,PCS,3.0,0.0,0.0
